"entitat","url","logo"
"SOS Racismo Madrid","http://www.sosracismomadrid.es/","SOSMadrid_logo.jpg"
"SOS Racisme Catalunya","http://www.sosracisme.org/","SOSCat_logo.jpg"
"Rights International Spain","http://www.rightsinternationalspain.org/","RIS_logo.jpg"
"Forn de teatre Pa'tothom","http://www.patothom.org/","Patothom_logo.jpg"
"Kali Zor",,"KaliZor_logo.jpg"
"Secretariado Gitano","http://www.gitanos.org","FSG_logo.jpg"
"FAGIC - Federación de Asociaciones Gitanas de Cataluña","http://www.fagic.org/","FAGIC_logo.jpg"
"IDHC - Instituto de Derechos Humanos de Catalunya","https://www.idhc.org/ca/","IDHC_logo.jpg"
"ACRS - Associació Catalana de Residents Senegalesos","http://www.senegalesos.org/","ACRS_logo.jpg"
"Musulmanes contra la islamofòbia","http://mcislamofobia.org","MCislamofobia_logo.jpg"
